"# Obligatorio | Identificador de contenido Ãºnico del artÃ­culo","# Obligatorio | TÃ­tulo especÃ­fico y relevante para el artÃ­culo.","# Obligatorio | A short and relevant description of the item.","# Obligatorio | The current availability of the item. ","# Obligatorio | The condition of the item. ","# Obligatorio | Precio del artÃ­culo.","# Obligatorio | URL de la pÃ¡gina del producto especÃ­fica donde las personas pueden comprar el artÃ­culo.","# Obligatorio | URL de la imagen principal de tu artÃ­culo. ","# Obligatorio | Marca del artÃ­culo. En su lugar; tambiÃ©n puedes ingresar un nÃºmero Ãºnico","# Opcional | CategorÃ­a de productos de Google para el artÃ­culo.","# Opcional | CategorÃ­a de productos de Facebook para el artÃ­culo.","# Opcional | The quantity of this item you have to sell on Facebook and Instagram with checkout.","# Opcional | Precio con descuento del artÃ­culo si estÃ¡ en oferta.","# Opcional | Intervalo del perÃ­odo de oferta;","# Opcional | Use this field to create variants of the same item.","# Opcional | Sexo de las personas a las que se dirige el artÃ­culo.","# Opcional | Color del artÃ­culo. Usa una o mÃ¡s palabras para describir el color.","# Opcional | TamaÃ±o o talle del artÃ­culo escrito como una palabra; ","# Opcional | Grupo de edad de las personas a las que se dirige el artÃ­culo.","# Opcional | The material the item is made from;","# Opcional | The pattern or graphic print on the item. Character limit: 100.","# Opcional | Detalles de envÃ­o del artÃ­culo; con el siguiente formato:","# Opcional | Peso del envÃ­o del artÃ­culo. Incluye la unidad de medida (lb/oz/g/kg)."
"66446","Pantaleta/Bikini Margaritas/Estrellas Angelina","Pantaleta/Bikini Margaritas/Estrellas Angelina","in stock","new","540","https://begima.com.mx/producto/123456460/pack/0","https://begima.com.mx/public/61c226b2d2a18mar.webp","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","540","540","","female","black","M","adult","cotton","stripes","","2 kg"
"66465","Bikini Corte Laser Begima","Bikini Corte Laser Begima","in stock","new","240","https://begima.com.mx/producto/123456470/pack/0","https://begima.com.mx/public/61c49ebfcd830pan.webp","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","240","240","","female","black","M","adult","cotton","stripes","","2 kg"
"66445","Medias De Red Negras Stephanie","Medias De Red Negras Stephanie","in stock","new","60","https://begima.com.mx/producto/123456480/pack/0","https://begima.com.mx/public/61bbc520a04b7777.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","60","60","","female","black","M","adult","cotton","stripes","","2 kg"
"66443","Bikini Encaje Resort 3/5 Haina","Bikini Encaje Resort 3/5 Haina","in stock","new","420","https://begima.com.mx/producto/123456500/pack/0","https://begima.com.mx/public/61bbc061050a2555.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
"66442","Pantaleta Microfibra Lisa Haina","Pantaleta Microfibra Lisa Haina","in stock","new","420","https://begima.com.mx/producto/123456510/pack/0","https://begima.com.mx/public/61bbbc9bbed95444.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
"66441","Bikini De Encaje Haina","Bikini De Encaje Haina","in stock","new","420","https://begima.com.mx/producto/123456520/pack/0","https://begima.com.mx/public/61bbba68c3b7e333.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
"66439","Bikini Laser Decorada 4 Hilos Haina","Bikini Laser Decorada 4 Hilos Haina","in stock","new","480","https://begima.com.mx/producto/123456530/pack/0","https://begima.com.mx/public/61bbae1a9d2fb222.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","480","480","","female","black","M","adult","cotton","stripes","","2 kg"
"66438","Bikini Laser Decorada 3 Hilos Haina","Bikini Laser Decorada 3 Hilos Haina","in stock","new","420","https://begima.com.mx/producto/123456540/pack/0","https://begima.com.mx/public/61bbac36b8bbc111.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
"66437","Bikini Con Brillos Haina","Bikini Con Brillos Haina","in stock","new","420","https://begima.com.mx/producto/123456550/pack/0","https://begima.com.mx/public/61bba2d737c65548.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
"66436","Bikini Con Encaje Atras Haina","Bikini Con Encaje Atras Haina","in stock","new","420","https://begima.com.mx/producto/123456560/pack/0","https://begima.com.mx/public/61bb9c7e1cd25mjn.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
